CYCLE_STATUS,CYCLE_TYPE,CONSTRUCTION_STATUS,CONSTRUCTION_TYPE,CONSTRUCTION_REASON,CYCLE_WIDTH,GeoJSON
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[374648.5153,4897320.9693],[374686.4541,4897322.6528]]}"
Bike Lane,Diamond Symbol,Constructed,Rehabilitation - Micro-Surfacing,2012 Project,,"{""type"":""LineString"",""coordinates"":[[373111.4442,4898528.5226],[373154.0948,4898520.1078],[373171.6162,4898516.3038],[373187.8695,4898512.9609],[373203.0854,4898508.35],[373217.0333,4898501.7795],[373230.2878,4898495.1024],[373246.031,4898485.1593],[373264.2599,4898471.4048],[373280.666,4898455.993],[373294.5862,4898441.0785],[373308.6722,4898422.6838],[373318.1181,4898408.1007],[373324.0839,4898397.8262],[373329.5526,4898386.5574],[373332.867,4898378.7687]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[374714.8171,4897324.162],[374801.8122,4897329.5595]]}"
Bike Lane,Diamond Symbol,Constructed,Rehabilitation - Micro-Surfacing,2012 Project,,"{""type"":""LineString"",""coordinates"":[[373332.867,4898378.7687],[373339.5333,4898361.6907],[373344.6705,4898346.7761],[373348.3163,4898334.0159],[373351.2992,4898320.0956],[373353.9507,4898302.3638],[373355.2764,4898287.615],[373358.2594,4898227.1281],[373366.3795,4898073.8394],[373374.334,4897920.7164],[373382.1227,4897767.4277],[373385.2713,4897677.4431]]}"
Bike Lane,Diamond Symbol,Constructed,Rehabilitation - Micro-Surfacing,2012 Project,,"{""type"":""LineString"",""coordinates"":[[373385.2713,4897677.4431],[373387.7383,4897595.7489],[373387.7383,4897586.303],[373387.4068,4897575.8628],[373386.5783,4897565.4226],[373384.9211,4897554.1538],[373381.2753,4897539.0735]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[373356.2669,4897452.2661],[373408.9399,4897418.6008],[373469.7942,4897380.7653],[373549.1693,4897331.2881],[373591.5028,4897305.3589],[373606.3194,4897297.1568],[373625.1049,4897288.4255],[373647.8591,4897279.9588],[373661.8821,4897275.7255],[373679.3446,4897271.4922],[373704.7446,4897267.5234]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[373713.4759,4897275.7255],[373686.7529,4897279.9588],[373665.0571,4897284.4568],[373640.7154,4897291.8651],[373614.7861,4897302.9776],[373595.7361,4897313.561],[373550.2277,4897341.0777],[373497.3109,4897373.6215],[373444.3941,4897406.1653],[373395.7107,4897436.8571],[373369.5169,4897453.5259]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[375414.2229,4897364.6208],[375711.721,4897378.2733]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[379804.9199,4901399.742],[379846.6712,4901401.7263]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[379792.6167,4901435.7783],[379794.548283499,4901432.3244532],[379796.77197633,4901429.0510356],[379799.27103945,4901425.98268815],[379802.026660945,4901423.14250809],[379805.018097633,4901420.55187514],[379808.222831215,4901418.2302905],[379811.616737778,4901416.19523011],[379815.174269396,4901414.46201305],[379818.86864644,4901413.04368629],[379822.672059163,4901411.95092638],[379826.555877047,4901411.19195918],[379830.490864312,4901410.77249787],[379834.4474,4901410.6957],[379845.6393,4901410.7751]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[380369.1273,4901427.1026],[380379.0823,4901427.6979],[380397.2063,4901427.3341],[380463.683,4901429.583]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[373728.6714,4897265.2879],[373744.864,4897265.4467],[373802.3316,4897268.9392]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[373799.3153,4897277.5117],[373756.3385,4897275.1963],[373742.8447,4897274.9317],[373730.9384,4897274.6672],[373719.8259,4897275.1963],[373713.4759,4897275.7255]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[373827.0963,4897271.5617],[374032.8286,4897285.2505],[374190.7933,4897294.5805]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[374201.3686,4897304.3006],[373948.4264,4897288.4255],[373829.4934,4897279.6844]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[374216.0578,4897294.2862],[374266.8579,4897297.6199]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[374250.9828,4897307.3037],[374201.3686,4897304.3006]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[374266.8579,4897297.6199],[374297.9729,4897299.2075]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[374309.3527,4897313.0039],[374280.1929,4897309.685]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[374319.6715,4897300.3038],[374461.4545,4897309.3276]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[380299.0214,4901424.0202],[380351.1444,4901426.1368]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[379956.0546,4901407.3514],[380276.2672,4901422.8295]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[380462.0403,4901443.0173],[380410.129,4901440.636],[380378.8552,4901436.6673],[380368.6952,4901436.4292]]}"
